sweepId,serverId,runId,t,load,phase,liveBullets,memoryMb,instanceCount
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,20.17467487,6000,steady,6000,564.6132813,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,21.18928674,6000,steady,6000,564.6132813,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,22.19101636,6000,steady,6000,564.6132813,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,23.20665068,6000,steady,5999,564.6132813,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,24.22516818,6000,steady,6000,564.6132813,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,25.23810055,6000,steady,6000,564.6132813,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,26.23934418,6000,steady,6000,564.6132813,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,27.25705595,6000,steady,6000,564.6210938,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,28.27285829,6000,steady,6000,564.6210938,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,29.27429521,6000,steady,6000,564.6210938,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,30.27470791,6000,steady,6000,564.6210938,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,31.27540297,6000,steady,6000,564.6210938,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,32.29001296,6000,steady,6000,564.6210938,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,33.29084356,6000,steady,6000,564.6210938,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,34.29315676,6000,steady,6000,564.6210938,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,35.3052155,6000,steady,6000,564.6210938,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,36.3068868,6000,steady,6000,564.6210938,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,37.30779195,6000,steady,6000,564.6328125,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,38.32133418,6000,steady,5999,564.6328125,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,39.3237961,6000,steady,6000,564.6328125,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,40.34055916,6000,steady,6000,564.6328125,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,41.35746669,6000,steady,6000,564.6484375,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,42.37367206,6000,steady,6000,564.6484375,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,43.39067056,6000,steady,5999,564.6484375,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,44.40731305,6000,steady,6000,564.6484375,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,45.40794794,6000,steady,6000,564.6601563,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,46.42379094,6000,steady,6000,564.6601563,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,47.43927678,6000,steady,6000,564.6601563,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,48.45719623,6000,steady,6000,564.6601563,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,49.47364381,6000,steady,6000,564.6601563,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,50.47380462,6000,steady,6000,564.6601563,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,51.49039986,6000,steady,6000,564.6601563,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,52.50631471,6000,steady,6000,564.6914063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,53.52303455,6000,steady,6000,564.6914063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,54.54009575,6000,steady,6000,564.6914063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,55.54151539,6000,steady,6000,564.6914063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,56.55684775,6000,steady,6000,564.6914063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,57.57289138,6000,steady,6000,564.6914063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,58.59078363,6000,steady,6000,564.6914063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,59.60427492,6000,steady,6000,564.6914063,100876
frame1,20260824T000440-4d7d85d4,20260824T001411-43fc2a82,0.02896868996,8000,steady,8000,564.71875,100876
frame1,20260824T000440-4d7d85d4,20260824T001411-43fc2a82,1.04487856,8000,steady,8000,564.71875,100876
frame1,20260824T000440-4d7d85d4,20260824T001411-43fc2a82,2.045734161,8000,steady,7999,564.71875,100876
frame1,20260824T000440-4d7d85d4,20260824T001411-43fc2a82,3.058447086,8000,steady,7998,564.71875,100876
frame1,20260824T000440-4d7d85d4,20260824T001411-43fc2a82,4.059698323,8000,steady,8000,564.71875,100876
frame1,20260824T000440-4d7d85d4,20260824T001411-43fc2a82,5.075815031,8000,steady,8000,564.71875,100876
